"EducationSector","IndividualProject","Age","Gender","City","Influenced","Perseverance","DesireToTakeInitiative","Competitiveness","SelfReliance","StrongNeedToAchieve","SelfConfidence","GoodPhysicalHealth","MentalDisorder","KeyTraits","y"
"Engineering Sciences","Yes",20,"Male","Yes","Yes",3,5,5,4,5,2,4,"Yes","Passion","1"
"Engineering Sciences","Yes",19,"Female","Yes","No",4,5,4,4,5,5,3,"Yes","Positivity","1"
"Engineering Sciences","Yes",19,"Male","Yes","Yes",2,3,1,2,2,1,3,"No","Passion","1"
"Engineering Sciences","Yes",22,"Male","No","No",5,5,5,5,5,5,5,"No","Positivity","1"
"Engineering Sciences","Yes",20,"Male","Yes","Yes",3,4,4,3,4,3,5,"No","Work Ethic","1"
"Art, Music or Design","Yes",24,"Male","Yes","Yes",4,5,5,4,4,4,5,"Yes","Work Ethic","1"
"Engineering Sciences","No",20,"Male","Yes","Yes",4,4,5,4,4,4,4,"No","Positivity","1"
"Engineering Sciences","No",19,"Male","Yes","Yes",5,5,3,5,5,3,3,"Yes","Positivity","1"
"Engineering Sciences","Yes",20,"Male","Yes","Yes",5,4,4,4,5,4,5,"Yes","Vision","1"
"Engineering Sciences","Yes",19,"Male","Yes","Yes",5,5,5,4,4,5,5,"Yes","Resilience","1"
"Engineering Sciences","Yes",21,"Male","Yes","No",2,3,3,3,3,3,3,"No","Positivity","1"
"Engineering Sciences","No",19,"Male","Yes","Yes",3,3,3,3,4,2,3,"No","Positivity","1"
"Others","Yes",19,"Female","Yes","Yes",4,4,4,4,4,5,4,"Yes","Vision","1"
"Engineering Sciences","No",20,"Male","Yes","Yes",1,1,1,5,5,5,5,"Yes","Positivity","1"
"Engineering Sciences","Yes",20,"Male","Yes","Yes",4,4,4,4,4,4,4,"No","Positivity","1"
"Humanities and Social Sciences","Yes",21,"Male","Yes","Yes",4,3,3,5,4,3,4,"Yes","Positivity","1"
"Medicine, Health Sciences","Yes",20,"Male","Yes","Yes",4,5,5,4,4,5,4,"No","Positivity","1"
"Engineering Sciences","No",19,"Male","No","Yes",5,4,5,5,5,4,3,"No","Vision","1"
"Others","No",19,"Male","Yes","Yes",4,3,3,4,5,5,5,"No","Passion","1"
"Humanities and Social Sciences","No",20,"Male","Yes","Yes",4,4,5,5,5,5,5,"No","Passion","1"
"Economic Sciences, Business Studies, Commerce and Law","Yes",19,"Male","Yes","Yes",4,3,5,4,5,4,3,"Yes","Work Ethic","1"
"Humanities and Social Sciences","No",19,"Female","Yes","Yes",3,5,2,4,4,4,2,"No","Positivity","1"
"Engineering Sciences","No",19,"Male","Yes","Yes",4,4,4,5,5,4,5,"No","Positivity","1"
"Medicine, Health Sciences","Yes",20,"Male","Yes","Yes",3,5,5,5,3,4,5,"No","Vision","1"
"Engineering Sciences","Yes",20,"Female","Yes","No",3,4,4,4,4,3,3,"No","Passion","1"
"Engineering Sciences","Yes",20,"Female","Yes","Yes",3,4,4,4,5,5,3,"No","Passion","1"
"Engineering Sciences","Yes",20,"Male","Yes","Yes",3,3,3,4,4,4,4,"Yes","Work Ethic","1"
"Engineering Sciences","Yes",19,"Male","Yes","No",5,5,5,5,5,5,5,"Yes","Vision","1"
"Engineering Sciences","Yes",20,"Male","Yes","Yes",4,5,5,5,4,5,4,"No","Work Ethic","1"
"Engineering Sciences","Yes",20,"Male","Yes","No",4,4,4,4,4,4,4,"No","Positivity","1"
"Economic Sciences, Business Studies, Commerce and Law","No",19,"Male","Yes","Yes",2,3,2,3,2,2,1,"No","Passion","1"
"Art, Music or Design","No",19,"Female","Yes","Yes",2,2,2,2,2,2,2,"Yes","Positivity","1"
"Others","Yes",20,"Female","Yes","No",2,2,2,2,2,1,3,"No","Positivity","1"
"Teaching Degree (e.g., B.Ed)","Yes",18,"Male","Yes","Yes",5,5,5,5,5,5,5,"No","Vision","1"
"Teaching Degree (e.g., B.Ed)","Yes",20,"Male","Yes","Yes",4,4,4,4,4,4,4,"Yes","Work Ethic","1"
"Art, Music or Design","Yes",21,"Male","Yes","Yes",3,4,4,4,5,4,5,"Yes","Passion","1"
"Others","Yes",20,"Male","Yes","Yes",2,3,3,3,3,3,3,"No","Work Ethic","1"
"Engineering Sciences","Yes",20,"Male","No","Yes",2,1,1,2,3,1,3,"No","Passion","1"
"Art, Music or Design","Yes",19,"Female","Yes","Yes",4,5,5,5,5,5,5,"No","Passion","1"
"Humanities and Social Sciences","No",19,"Female","No","No",2,2,1,2,2,2,3,"No","Positivity","1"
"Engineering Sciences","No",18,"Male","Yes","Yes",3,3,2,2,3,3,2,"No","Work Ethic","1"
"Others","Yes",19,"Male","Yes","Yes",4,3,3,4,4,3,3,"No","Work Ethic","1"
"Engineering Sciences","Yes",19,"Male","Yes","Yes",3,4,5,5,4,4,2,"No","Work Ethic","1"
"Economic Sciences, Business Studies, Commerce and Law","No",20,"Male","Yes","Yes",4,5,5,4,5,4,5,"Yes","Passion","1"
"Art, Music or Design","Yes",19,"Male","Yes","Yes",3,4,3,4,5,4,4,"No","Vision","1"
"Others","Yes",21,"Female","Yes","No",4,5,4,5,4,4,4,"Yes","Positivity","1"
"Others","Yes",19,"Female","No","Yes",4,4,4,5,4,4,4,"No","Passion","1"
"Art, Music or Design","Yes",20,"Male","Yes","Yes",2,3,2,3,2,3,2,"No","Positivity","1"
"Engineering Sciences","No",20,"Male","Yes","Yes",4,4,4,5,4,4,4,"No","Work Ethic","1"
"Engineering Sciences","No",19,"Male","Yes","Yes",5,5,5,5,5,5,5,"No","Positivity","1"
"Engineering Sciences","Yes",20,"Male","Yes","Yes",3,4,5,5,4,5,5,"No","Positivity","1"
"Engineering Sciences","Yes",20,"Male","Yes","Yes",4,4,4,4,4,5,3,"No","Work Ethic","1"
"Engineering Sciences","No",19,"Male","No","Yes",4,5,5,4,4,4,5,"No","Positivity","1"
"Art, Music or Design","Yes",20,"Female","Yes","Yes",3,4,3,4,3,4,3,"Yes","Positivity","1"
"Engineering Sciences","Yes",20,"Male","Yes","Yes",4,4,5,3,4,4,5,"Yes","Positivity","1"
"Engineering Sciences","Yes",21,"Female","No","No",2,2,3,3,3,3,2,"No","Positivity","1"
"Engineering Sciences","No",20,"Male","Yes","No",4,5,4,4,5,5,5,"No","Vision","1"
"Engineering Sciences","Yes",20,"Female","Yes","Yes",2,3,2,3,3,3,2,"No","Passion","1"
"Economic Sciences, Business Studies, Commerce and Law","No",19,"Male","Yes","Yes",4,5,5,5,5,5,5,"Yes","Vision","1"
"Art, Music or Design","Yes",20,"Female","Yes","Yes",4,5,5,4,4,5,5,"No","Work Ethic","1"
"Engineering Sciences","Yes",19,"Male","Yes","Yes",4,5,4,3,4,4,5,"Yes","Positivity","1"
"Engineering Sciences","Yes",22,"Female","Yes","Yes",3,4,4,3,4,4,3,"No","Vision","1"
"Engineering Sciences","Yes",18,"Male","No","Yes",3,5,3,5,5,5,2,"No","Passion","1"
